Energy Infrastructure Update for February 2025	https://cms.ferc.gov/media/energy-infrastructure-update-february-2025-2
Energy Infrastructure Update for January 2011	/sites/default/files/2020-05/01-11-energy-infrastructure.pdf
Energy Infrastructure Update for January 2012	/sites/default/files/2020-05/jan-2012-energy-infrastructure.pdf
Energy Infrastructure Update for January 2013	/sites/default/files/2020-05/jan-energy-infrastructure_3.pdf
Energy Infrastructure Update for January 2014	/sites/default/files/2020-05/jan-infrastructure_1.pdf
Energy Infrastructure Update for January 2015	/sites/default/files/2020-05/jan-infrastructure_0.pdf
Energy Infrastructure Update for January 2016	/sites/default/files/2020-05/jan-infrastructure.pdf
Energy Infrastructure Update for January 2017	/sites/default/files/2020-05/jan-energy-infrastructure_2.pdf
Energy Infrastructure Update for January 2018	/sites/default/files/2020-05/jan-energy-infrastructure_1.pdf
Energy Infrastructure Update for January 2019	/sites/default/files/2020-05/jan-energy-infrastructure_0.pdf
Energy Infrastructure Update for January 2020	/sites/default/files/2020-05/jan-energy-infrastructure.pdf
Energy Infrastructure Update for January 2021	https://cms.ferc.gov/media/energy-infrastructure-update-january-2021
Energy Infrastructure Update for January 2022	https://cms.ferc.gov/media/energy-infrastructure-update-january-2022-0
Energy Infrastructure Update for January 2023	https://cms.ferc.gov/media/energy-infrastructure-update-january-2023-0
Energy Infrastructure Update for January 2024	https://cms.ferc.gov/media/energy-infrastructure-update-january-2024
Energy Infrastructure Update for January 2025	https://cms.ferc.gov/media/energy-infrastructure-update-january-2025-0
Energy Infrastructure Update for July 2011	/sites/default/files/2020-05/07-11-energy-infrastructure.pdf
Energy Infrastructure Update for July 2012	/sites/default/files/2020-05/jul-2012-energy-infrastructure.pdf
Energy Infrastructure Update for July 2013	/sites/default/files/2020-05/jul-energy-infrastructure_1.pdf
Energy Infrastructure Update for July 2014	/sites/default/files/2020-05/jul-infrastructure.pdf
Energy Infrastructure Update for July 2015	/sites/default/files/2020-05/july-infrastructure.pdf
Energy Infrastructure Update for July 2016	/sites/default/files/2020-05/jul-energy-infrastructure_0.pdf
Energy Infrastructure Update for July 2017	/sites/default/files/2020-05/july-energy-infrastructure_0.pdf
Energy Infrastructure Update for July 2018	/sites/default/files/2020-05/jul-energy-infrastructure.pdf
Energy Infrastructure Update for July 2019	/sites/default/files/2020-05/july-energy-infrastructure.pdf
Energy Infrastructure Update for July 2020	https://cms.ferc.gov/media/energy-infrastructure-update-july-2020
Energy Infrastructure Update for July 2021	https://cms.ferc.gov/media/energy-infrastructure-update-july-2021-revised-hydropower-data
Energy Infrastructure Update for July 2023	https://cms.ferc.gov/media/energy-infrastructure-update-july-2023-1
Energy Infrastructure Update for July 2024	https://cms.ferc.gov/media/energy-infrastructure-update-july-2024
Energy Infrastructure Update for July 2025	https://cms.ferc.gov/media/energy-infrastructure-update-july-2025
Energy Infrastructure Update for June 2011	/sites/default/files/2020-05/06-11-energy-infrastructure.pdf
Energy Infrastructure Update for June 2012	/sites/default/files/2020-05/jun-2012-energy-infrastructure.pdf
Energy Infrastructure Update for June 2013	/sites/default/files/2020-05/jun-energy-infrastructure_2.pdf
Energy Infrastructure Update for June 2014	/sites/default/files/2020-05/jun-infrastructure.pdf
Energy Infrastructure Update for June 2015	/sites/default/files/2020-05/june-infrastructure.pdf
Energy Infrastructure Update for June 2016	/sites/default/files/2020-05/jun-energy-infrastructure_1.pdf
Energy Infrastructure Update for June 2017	/sites/default/files/2020-05/jun-energy-infrastructure_0.pdf
Energy Infrastructure Update for June 2018	/sites/default/files/2020-05/jun-energy-infrastructure.pdf
Energy Infrastructure Update for June 2019	/sites/default/files/2020-05/june-energy-infrastructure.pdf
Energy Infrastructure Update for June 2020	https://cms.ferc.gov/sites/default/files/2020-08/JuneMIR%202020.pdf
Energy Infrastructure Update for June 2021	https://cms.ferc.gov/media/energy-infrastructure-update-june-2021-revised-hydropower-data
Energy Infrastructure Update for June 2022	https://cms.ferc.gov/media/energy-infrastructure-update-june-2022
Energy Infrastructure Update for June 2023	https://cms.ferc.gov/media/energy-infrastructure-update-june-2023-1
Energy Infrastructure Update for June 2024	https://cms.ferc.gov/media/energy-infrastructure-update-june-2024
Energy Infrastructure Update for June 2025	https://cms.ferc.gov/media/energy-infrastructure-update-june-2025
Energy Infrastructure Update for March 2011	/sites/default/files/2020-05/03-11-energy-infrastructure.pdf
Energy Infrastructure Update for March 2012	/sites/default/files/2020-05/mar-2012-energy-infrastructure.pdf
Energy Infrastructure Update for March 2013	/sites/default/files/2020-05/mar-energy-infrastructure_2.pdf
Energy Infrastructure Update for March 2014	/sites/default/files/2020-05/mar-infrastructure_1.pdf
Energy Infrastructure Update for March 2015	/sites/default/files/2020-05/mar-infrastructure_0.pdf
Energy Infrastructure Update for March 2016	/sites/default/files/2020-05/mar-infrastructure.pdf
