timestamp,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2018-01-01 00:00:00,2144.311053122047,1794.1216344723296,3558.0868937854434,18086.28843706652,11006.590255317926,3512.6233986490183,803.8097474598962,4025.232150436072,7822.025377612811,4947.131033515293,2519.9453227916715,10715.268365138665,10699.766111131557,3367.6649853627387,3879.117195812527,4537.700528964262,10435.044160395139,5093.55127994412,711.4108145545047,17623.991894929542,10896.092221051424,3171.944426622362,909.611117786908,2406.893190702421,5791.281818390715,1484.8752870823769,3290.1166323685648,959.8663676042667,14308.782030076633,1949.4306183544193,2697.5286830908253,30808.971076701248,19754.51672563029,3498.0586018153035,2518.095180867603,13855.572506313962,1469.236902387199,3768.1112472808286,1657.3599471372008,3259.2891666390015,16831.22180558752,5869.205206485399,5938.817723943805,461.6876751661871,4972.787571578658,6755.516854932164,1709.87303231851,1126.1058184753151
2018-01-01 01:00:00,4883.278376654388,3798.935330293909,3579.7139638175518,18951.355814448172,11039.51981872348,4326.993987553325,1014.1122910365115,4561.500850409896,9380.012103648218,8536.38303802889,2569.9458628364137,26010.688933547426,14372.2026083834,4466.1258357508195,5590.468815002954,8337.144344639437,13130.391928932493,6152.587270201446,829.6677322863242,22030.351142488336,14253.224947505076,6452.288639871675,2328.36222114576,2404.8856809639224,6865.3396019303445,1609.5793237088774,4121.87117902343,1201.199520011504,18681.446781859173,1999.8225238119949,2760.445490580163,39255.61179477972,23486.12518535434,5311.286850344839,2486.0857127062254,16814.75524859812,1798.2922951855237,4159.704257975213,2052.7183645148516,6796.145598616196,27543.363983480172,6128.440298607406,7199.891478997169,549.5316930479806,4840.900288084942,12928.475929265089,1950.7596288482373,1125.561001000925
2018-01-01 02:00:00,5539.974511791847,4456.195559070833,2287.0813608173585,19073.28988683761,10020.029504730132,4437.497663736473,1035.0821129145188,4815.296082921988,9500.749757535945,9689.876945479265,2764.458630109759,31533.59368257266,14898.94656173379,5175.67161095141,5767.075087078238,9033.586106648727,13179.480521928755,6247.4118357120915,851.2936710100844,22129.741085544832,16078.606564379937,7830.501968634532,2761.68527204347,2560.071713200759,6969.643643408623,1689.1513744442072,4470.879583814337,1239.3054917457594,19127.497246459996,1829.606452850005,2767.8696162828296,39774.212969381,23915.03620552997,6194.9177442683485,2479.029092136768,17159.587148829512,1833.0787952081864,4220.754761129432,2153.7906068040265,7724.472701202705,30600.00768911369,4839.2322984504735,7427.4185023183045,565.2025744945636,4736.428584693823,15745.006906183215,1975.7126799138364,1118.9726031057103
2018-01-01 03:00:00,5660.843807852554,4531.000462232864,1952.863965100748,17272.744311959003,10063.00657109759,4353.726223692836,1043.507793975465,4835.315158652162,9760.591421274594,9828.084086624192,2783.5200243984286,32236.306465313974,14941.305814688389,5268.902141883022,5834.7423537775985,9227.248249946113,12861.55356182782,6333.293986664346,849.1613479141288,21879.78262920185,16271.26788767791,8012.228842565152,2806.0022697612994,2679.276055718992,7042.459924965486,1725.4453333665817,4568.922864907537,1236.752233835947,19310.3413428311,1957.353105003994,2009.824705587994,39553.880238635655,23813.07878186661,6414.728222268418,2659.083465655925,17066.08439823934,1834.3472243765139,4235.685660043975,2218.949845582274,7860.714197794006,31401.48264096486,4550.962833033263,7488.531601553514,568.8510222380903,5335.945102353851,16040.540042799817,1953.2364979559368,1128.1164857598303
2018-01-01 04:00:00,5688.354291322398,4518.933595070473,2153.4624634559377,17161.517910198225,10398.618784616849,4854.291956462257,1119.3889505973093,5064.791357737062,10470.061499106712,9715.2070974058,2876.309676546754,32041.011495206327,15564.418813512668,5170.018967499098,5972.694296200472,9181.449244229483,13991.543714698226,6744.963748980387,943.6473176465576,22857.057656881934,16143.476614104886,7917.382298718872,2841.5828618836613,2715.2818026136333,7626.752470124404,1719.478247846746,4548.569240382982,1337.2935050627473,20962.758516679394,2106.6628073230177,1792.9322447978477,42976.28518692679,25178.479089132976,6486.391679905976,2623.051187908556,18497.227214592138,1964.9865697505147,4393.970028714107,2181.6154740043535,7907.326933390058,31419.14376075415,4753.088658197372,7947.658871760762,628.1205021334275,5375.2775805666615,16112.452612221514,2035.2733178929443,1122.402231592538
2018-01-01 05:00:00,6013.636865058556,4850.70591952112,2319.3974575425964,18603.7080481621,10675.327243242258,5361.5241264441165,1198.965891211324,5452.230701568193,11176.184853708251,10121.611406563561,2920.649015725673,34227.10850897628,16399.536114757597,5592.990461785991,6166.0599987064825,9415.270983531454,15155.208609181853,7139.338591370272,1146.5347558546632,24053.067123422006,17124.455643406483,8531.011201629657,2944.0864125265853,2710.7279627595594,8236.639800897467,1809.9799417991585,4711.6688609231305,1485.359896428999,22652.484043958222,2206.208940429689,1983.8820720595925,46542.8043821161,26534.062078427614,6904.809299042339,2740.9719397991257,20157.855743294505,2142.372481546392,4609.484150759339,2285.625286700782,8158.971743871339,33024.7502826474,4935.819497127239,8480.577101025056,742.1806691451383,5473.443293589151,17124.084173109644,2180.5227061051337,1108.970568474189
2018-01-01 06:00:00,6325.586072148571,5174.140378358571,2621.1530143160107,20174.88298951464,11457.95646461276,6161.672598902407,1287.6544103267067,6324.953967735742,11960.26917424923,10529.646065112045,3042.6299349453143,36265.968373032694,17250.076809395807,5918.81506218174,6545.883423128869,9973.577307474528,16400.317793750502,7863.696685801385,1311.3843718626092,25538.372738466085,18175.47244756552,9082.677472673204,3075.460352272572,2873.2695100555225,9141.571933833162,1912.0375955644538,4979.394539632713,1681.9665532259685,24506.271776738267,2453.9941979037326,2135.708439092002,50897.37890082538,28061.81195010467,7354.497773451518,2814.821631667441,22569.170432491443,2531.275098891599,5051.638253567555,2413.6694895616142,8583.190129051669,35234.74838971844,5421.401449450636,9305.429345752855,882.3241057469121,5491.059019584025,18282.535656184024,2440.8269674292146,1182.6194010457143
2018-01-01 07:00:00,6828.820284745318,5626.881852264124,3032.4729950206083,22192.36307691073,12325.114252942712,7093.573872837342,1379.1423546789163,7036.8684613218775,12861.723961713706,10966.99400250587,3259.2652354456563,38356.19693147102,18612.582234194484,6223.039813690883,7036.556191891712,10826.525792062837,17909.466964847205,8505.498476910514,1487.3281400077492,27563.693458962687,19398.94790457998,9556.630439607623,3369.0227627295926,3048.7777580487405,9956.53720794551,2000.871168887204,5252.648710968568,1858.7666382229943,26130.43298012211,2713.915723768677,2410.1225958553596,55320.10197779346,30382.417355157624,7837.42905665774,3058.684225184993,24744.660999475673,2800.1045281061292,5439.869709768467,2503.904785693503,9166.641918518286,38741.83789277407,5929.1094222465135,10018.666467182362,969.8438396458783,5895.671886840151,19406.812845095195,2691.104415891448,1248.8646136607697
2018-01-01 08:00:00,7179.96157915258,6049.35287204797,3884.0816765696536,23286.289572444217,13346.646350613539,6920.226190941577,1329.0852204878156,7132.696899366807,13040.917985039621,11900.075646969073,3659.8254509958765,41481.81315626558,19295.46829416462,6739.432254952821,7267.989491915621,11677.929034074436,17807.93234433354,8248.455730405394,1490.9779919028667,28059.638374579474,21059.32893527875,10264.174904552887,3530.536368597992,3388.1381666374054,9885.204296434811,2146.968225622071,5762.7234745024025,1835.1580479941492,25876.28706110738,3153.7940174530167,2829.1521673264106,55393.29977692169,30686.4706581408,8387.682547009192,3390.510840778955,24891.57852216244,2743.7938649656176,5501.084806962656,2760.436648976617,9611.329157210788,42371.8920060214,6855.215329873765,9717.70866734076,957.858443183881,6479.197903491012,20926.17604693903,2747.7053336744434,1407.6921598726105
2018-01-01 09:00:00,7249.666011771575,5976.918846375584,4486.866308319208,27877.46913293755,14188.136850333247,6624.691847559091,1247.8036035729376,7077.624582472835,12868.777961874026,12055.452913252071,4016.2297106073374,41665.88775936885,19434.374134624297,6648.667756553341,7225.757512659618,11890.672185723613,17095.507198845466,7347.97016073506,1351.0686566230654,28000.190360974342,21203.908900503604,10111.173663376394,3464.4597998447343,3695.4500820563644,9310.668345099273,2192.7690136422807,5831.5243295245145,1798.980182107921,24532.182113403534,3583.9376274409747,3473.1636074482276,53635.2810707335,29931.810568416015,8374.290878115355,4051.377754808048,23994.461524098602,2641.531410943735,5488.581586999404,2840.324272634863,9580.503315987931,43055.6695725965,7794.525052440476,9082.572741874903,898.2672748082787,7465.030998193121,21030.86808360867,2685.5201770603994,1566.4580299036998
