ba,nercr,transreg,transgrp,cendiv,st,h2ptcreg,interconnect,st_interconnect,country,aggreg
p169,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,MEX
p170,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,MEX
p171,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,MEX
p172,nrn27,MEX,MEX,MEX,COA_DGO_NLE,,mexico,COA_DGO_NLE,MEX,MEX
p173,nrn27,MEX,MEX,MEX,COA_DGO_NLE,,mexico,COA_DGO_NLE,MEX,MEX
p174,nrn27,MEX,MEX,MEX,SLP,,mexico,SLP,MEX,MEX
p175,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,MEX
p176,nrn27,MEX,MEX,MEX,SLP,,mexico,SLP,MEX,MEX
p177,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,MEX
p178,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,,mexico,AGU_GUA_JAL_NAY_QUE_ZAC,MEX,MEX
p179,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,,mexico,AGU_GUA_JAL_NAY_QUE_ZAC,MEX,MEX
p180,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,,mexico,AGU_GUA_JAL_NAY_QUE_ZAC,MEX,MEX
p181,nrn27,MEX,MEX,MEX,SLP,,mexico,SLP,MEX,MEX
p182,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,,mexico,AGU_GUA_JAL_NAY_QUE_ZAC,MEX,MEX
p183,nrn27,MEX,MEX,MEX,COL,,mexico,COL,MEX,MEX
p184,nrn27,MEX,MEX,MEX,GRO_MIC,,mexico,GRO_MIC,MEX,MEX
