Scenario,Class,SubClass,Resource,Model,Fips Code,County,State,Sqmi,Land Source,Price Offered,Production,Production Unit,Production Energy Content,Energy Content Unit,Production Density per Sq Mile,BTU/Ton,USDA Region
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,37189,Watauga County,North Carolina,313.32,Crop,40,8.3,dt,144154400,BTU,0.03,17368000,Appalachia
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,37035,Catawba County,North Carolina,416.02,Crop,40,23.9,dt,415095200,BTU,0.06,17368000,Appalachia
near-term,agriculture land,Agricultural residues,Cotton field residues,POLYSYS_NAS,47157,Shelby County,Tennessee,780.36,Crop,60,681.7,dt,10151876400,BTU,0.87,14892000,Appalachia
near-term,agriculture land,Agricultural residues,Corn stover,POLYSYS,55073,Marathon County,Wisconsin,1576.33,Crop,70,87786,dt,1.38017E+12,BTU,55.69,15722000,Lake States
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,21009,Barren County,Kentucky,500,Crop,40,20.6,dt,357780799,BTU,0.04,17368000,Appalachia
near-term,agriculture land,Agricultural residues,Oats straw,POLYSYS,38071,Ramsey County,North Dakota,1301.01,Crop,70,0,dt,0,BTU,0,14892000,Northern Plains
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,26151,Sanilac County,Michigan,964.09,Crop,40,21.8,dt,378622400,BTU,0.02,17368000,Lake States
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,37027,Caldwell County,North Carolina,474.61,Crop,40,91.1,dt,1582224800,BTU,0.19,17368000,Appalachia
near-term,agriculture land,Agricultural residues,"Pruning residues, tree nuts",NASS 2017 Census,53057,Skagit County,Washington,1751,Crop,40,0.6,dt,10420800,BTU,0,17368000,Pacific
near-term,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,28133,Sunflower County,Mississippi,706.93,Crop,48,1627.3,dt,22974221400,BTU,2.3,14118000,Southeast
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,12089,Nassau County,Florida,651.67,Crop,40,33.3,dt,578354400,BTU,0.05,17368000,Southeast
near-term,agriculture land,Agricultural residues,Cotton field residues,POLYSYS_NAS,13049,Charlton County,Georgia,782.39,Crop,60,19.3,dt,287415600,BTU,0.02,14892000,Southeast
near-term,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,37061,Duplin County,North Carolina,820.22,Crop,48,639.3,dt,9025637400,BTU,0.78,14118000,Appalachia
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,36123,Yates County,New York,375.78,Crop,40,148.7,dt,2582621600,BTU,0.4,17368000,Northeast
near-term,agriculture land,Agricultural residues,Oats straw,POLYSYS,31015,Boyd County,Nebraska,544.53,Crop,70,0,dt,0,BTU,0,14892000,Northern Plains
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,47183,Weakley County,Tennessee,581.78,Crop,40,2.9,dt,50367200,BTU,0,17368000,Appalachia
