Scenario,Class,SubClass,Resource,Model,Fips Code,County,State,Sqmi,Land Source,Price Offered,Production,Production Unit,Production Energy Content,Energy Content Unit,Production Density per Sq Mile,BTU/Ton,USDA Region
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,19045,Clinton County,Iowa,710.18,Crop,40,16.9,dt,293519200,BTU,0.02,17368000,Corn Belt
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,19115,Louisa County,Iowa,417.52,Crop,40,18.7,dt,324781600,BTU,0.04,17368000,Corn Belt
near-term,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,40111,Okmulgee County,Oklahoma,702.45,Crop,48,57.9,dt,817432200,BTU,0.08,14118000,Southern Plains
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,26005,Allegan County,Michigan,841.83,Crop,40,3086.8,dt,53611542400,BTU,3.67,17368000,Lake States
near-term,agriculture land,Agricultural residues,Cotton field residues,POLYSYS_NAS,13131,Grady County,Georgia,460.26,Crop,60,2225.8,dt,33146613600,BTU,4.84,14892000,Southeast
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,47061,Grundy County,Tennessee,361.12,Crop,40,26.7,dt,463725599,BTU,0.07,17368000,Appalachia
near-term,agriculture land,Agricultural residues,Rice straw,POLYSYS_NAS,05095,Monroe County,Arkansas,621.26,Crop,60,49366.2,dt,7.35161E+11,BTU,79.46,14892000,Delta States
near-term,agriculture land,Agricultural residues,"Pruning residues, tree nuts",NASS 2017 Census,53053,Pierce County,Washington,1688.31,Crop,40,5.9,dt,102471200,BTU,0,17368000,Pacific
near-term,agriculture land,Agricultural residues,Cotton field residues,POLYSYS_NAS,37179,Union County,North Carolina,639.64,Crop,60,166.3,dt,2476539600,BTU,0.26,14892000,Appalachia
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,47011,Bradley County,Tennessee,331.45,Crop,40,13.5,dt,234468000,BTU,0.04,17368000,Appalachia
near-term,agriculture land,Agricultural residues,"Pruning residues, tree nuts",NASS 2017 Census,47147,Robertson County,Tennessee,476.51,Crop,40,2.3,dt,39946400,BTU,0,17368000,Appalachia
