county,population
p13133,20722
p13135,983526
p13137,48757
p13139,217267
p13141,8676
p13143,32038
p13145,36654
p13147,27556
p13149,12034
p13151,254613
p13153,171974
p13155,9120
p13157,88615
p13159,16455
p13161,14906
p13163,15183
p13165,8627
p13167,9282
p13169,28969
p13171,20401
p13173,10452
p13175,49941
p13177,33872
p13179,69210
p13181,7879
p13183,19594
p13185,120712
p13187,35258
p13189,21799
p13191,11501
p13193,11817
p13195,32191
p13197,7440
p13199,20931
p13201,5747
p13205,21114
p13207,30625
p13209,8761
p13211,21460
p13213,41035
p13215,201877
p13217,120135
p13219,44182
p13221,15754
p13223,183164
p13225,28805
p13227,35969
p13229,20425
p13231,20461
p13233,44223
p13235,10095
p13237,23129
p13239,2280
p13241,17442
p13243,6078
p13245,205414
p13247,95987
p13249,4526
p13251,14174
p13253,9092
p13255,69946
p13257,27228
p13259,4674
p13261,28890
p13263,5718
p13265,1609
p13267,24296
p13269,7758
p13271,10920
p13273,8718
p13275,45649
p13277,41554
p13279,27040
p13281,13035
p13283,6341
p13285,70742
p13287,8909
p13289,7691
p13291,27124
p13293,28263
p13295,69489
p13297,106702
p13299,36243
p13301,5106
p13303,19820
p13305,31373
p13307,2337
p13309,7081
p13311,29026
p13313,103687
p13315,8779
p13317,9518
p13319,8725
p13321,20273
p15001,207615
p15003,989408
p15005,81
p15007,73851
p15009,164183
p16001,524673
p16003,4903
p16005,90400
p16007,6766
p16009,10369
p16011,50395
p16013,25041
p16015,8517
p16017,52547
p16019,131366
p16021,13557
p16023,2758
p16025,1232
p16027,257674
p16029,7219
p16031,25696
p16033,801
p16035,9214
p16037,4523
p16039,29724
p16041,15494
p16043,14196
p16045,21071
p16047,16061
p16049,17890
p16051,34198
p16053,25479
p16055,185010
p16057,41301
p16059,8441
p16061,3739
p16063,5450
p16065,54547
p16067,22480
p16069,42987
p16071,4953
p16073,12722
p16075,27279
p16077,8253
p16079,14026
p16081,12549
p16083,95156
p16085,12644
p16087,11425
p17001,64441
p17003,4695
p17005,16450
p17007,53202
p17009,6294
p17011,32729
p17013,4317
p17015,15526
p17017,12596
p17019,205644
p17021,33228
p17023,15088
p17025,12999
p17027,36785
p17029,46060
p17031,5087072
p17033,18300
p17035,10261
p17037,100288
p17039,15365
p17041,19629
p17043,921213
p17045,16334
p17047,5968
p17049,34331
p17051,21164
p17053,13250
p17055,37138
p17057,32541
p17059,4670
p17061,11543
p17063,53578
p17065,7911
p17067,17186
p17069,3569
p17071,6088
p17073,48448
p17075,26136
p17077,52141
p17079,9144
p17081,36320
p17083,21091
p17085,21756
p17087,13326
p17089,514982
p17091,105940
p17093,139976
p17095,48411
p17097,708760
p17099,108309
p17101,14813
p17103,33654
p17105,35320
p17107,27590
p17109,26839
p17111,312800
p17113,170441
p17115,100591
p17117,44018
p17119,262752
p17121,36673
p17123,11683
p17125,12523
p17127,13661
