county,population
p38007,1034
p38009,6349
p38011,2867
p38013,2134
p38015,100012
p38017,196362
p38019,3596
p38021,4900
p38023,2135
p38025,4019
p38027,2263
p38029,3224
p38031,3309
p38033,1743
p38035,72708
p38037,2215
p38039,2248
p38041,2415
p38043,2342
p38045,4096
p38047,1869
p38049,5131
p38051,2488
p38053,14252
p38055,9832
p38057,8309
p38059,33895
p38061,9383
p38063,2991
p38065,1879
p38067,6661
p38069,3902
p38071,11463
p38073,5603
p38075,2279
p38077,16558
p38079,11728
p38081,3776
p38083,1266
p38085,3643
p38087,674
p38089,33001
p38091,1782
p38093,21392
p38095,2030
p38097,7908
p38099,10305
p38101,68332
p38103,3876
p38105,39113
p39001,27521
p39003,100838
p39005,52190
p39007,96845
p39009,62706
p39011,46050
p39013,64918
p39015,43777
p39017,393043
p39019,26758
p39021,38845
p39023,134610
p39025,211972
p39027,41938
p39029,100182
p39031,36869
p39033,41529
p39035,1233088
p39037,51415
p39039,38315
p39041,231636
p39043,74035
p39045,165360
p39047,28817
p39049,1326063
p39051,42007
p39053,28986
p39055,95407
p39057,169691
p39059,38089
p39061,827058
p39063,74704
p39065,30368
p39067,14159
p39069,27520
p39071,43614
p39073,27540
p39075,44386
p39077,58199
p39079,32606
p39081,64026
p39083,63320
p39085,231640
p39087,56118
p39089,183201
p39091,46057
p39093,317910
p39095,425484
p39097,44602
p39099,225596
p39101,64851
p39103,184042
p39105,21767
p39107,42439
p39109,110876
p39111,13153
p39113,533796
p39115,13646
p39117,35595
p39119,86305
p39121,14311
p39123,39803
p39125,18706
p39127,35551
p39129,61086
p39131,27001
p39133,162665
p39135,40556
p39137,34199
p39139,125064
p39141,76501
p39143,58709
p39145,71969
p39147,54527
p39149,47765
p39151,372716
p39153,535733
p39155,200373
p39157,91874
p39159,69637
p39161,28704
p39163,12474
p39165,252148
p39167,58577
p39169,116510
p39171,36591
p39173,132650
p39175,21457
p40001,19627
p40003,5673
p40005,14525
p40007,5018
p40009,22042
p40011,8539
p40013,48967
p40015,26214
p40017,175829
p40019,48596
p40021,48185
p40023,14276
p40025,2191
p40027,301193
p40029,5266
p40031,121574
p40033,5427
p40035,14494
p40037,73332
p40039,28266
p40041,41703
p40043,4286
p40045,3648
p40047,62023
p40049,25865
p40051,57375
p40053,4083
p40055,5466
p40057,2392
p40059,3190
p40061,11832
p40063,13436
p40065,24669
p40067,5347
p40069,10216
p40071,43641
p40073,15481
p40075,8398
p40077,9526
p40079,49596
p40081,34562
p40083,53029
p40085,10296
p40087,47072
p40089,30660
p40091,19603
p40093,7581
p40095,15970
p40097,39889
p40099,13754
p40101,66677
p40103,10832
p40105,9438
p40107,11300
p40109,808866
p40111,37035
p40113,46130
p40115,30287
p40117,15864
p40119,83352
p40121,43479
p40123,38396
p40125,73791
p40127,10800
p40129,3295
p40131,100248
p40133,23565
p40135,40291
p40137,44014
p40139,20371
p40141,6869
p40143,682868
p40145,89280
p40147,53706
p40149,10736
p40151,8564
p40153,19947
p41001,16912
p41003,97713
p41005,423173
p41007,41102
p41009,53880
p41011,64212
p41013,26952
p41015,23296
p41017,208513
p41019,112435
p41021,2026
p41023,7215
p41025,7440
p41027,23745
p41029,220768
p41031,25454
p41033,87821
p41035,70003
p41037,8293
p41039,381181
p41041,50821
p41043,131496
p41045,32044
p41047,346741
p41049,12302
p41051,789698
p41053,89805
p41055,1951
p41057,27417
p41059,80053
p41061,25944
p41063,7674
p41065,26333
p41067,598865
p41069,1436
p41071,108644
p42001,106748
p42003,1224825
p42005,64074
p42007,165631
p42009,47350
p42011,432821
p42013,120273
p42015,59695
p42017,645984
p42019,198413
p42021,130668
p42023,4380
p42025,65458
p42027,157795
p42029,549784
p42031,36970
p42033,77090
p42035,37607
p42037,65439
p42039,82001
p42041,270738
p42043,289234
p42045,576720
p42047,30198
p42049,267571
p42051,123915
p42053,6449
p42055,157854
p42057,14468
p42059,34357
p42061,43514
p42063,83094
p42065,43612
p42067,23243
p42069,216123
p42071,558589
p42073,84472
p42075,144252
p42077,377754
p42079,327388
p42081,112724
p42083,39519
p42085,108503
p42087,45922
p42089,166053
p42091,868742
p42093,17860
p42095,319091
p42097,90120
p42099,46083
p42101,1550542
p42103,61247
p42105,15999
p42107,143786
p42109,39717
p42111,72197
p42113,5834
p42115,38109
p42117,40840
p42119,42042
p42121,49431
p42123,37572
p42125,210232
p42127,51262
p42129,351163
p42131,25902
p42133,464640
p44001,50255
p44003,171278
p44005,83832
p44007,660615
p44009,129982
p45001,24434
p45003,177130
p45005,7369
p45007,213076
p45009,12974
p45011,20447
p45013,198979
p45015,255217
p45017,14186
p45019,424367
p45021,56714
p45023,32226
p45025,44031
p45027,31004
p45029,38874
p45031,62416
p45033,27698
p45035,169833
p45037,27607
p45039,20422
p45041,137214
p45043,65731
p45045,558036
p45047,69460
p45049,18122
p45051,397478
p45053,33544
p45055,69905
p45057,108215
p45059,68873
p45061,15967
p45063,309528
p45065,9941
p45067,28508
p45069,25704
p45071,38825
p45073,81221
p45075,82820
p45077,135495
p45079,425138
p45081,19123
p45083,356698
p45085,104165
p45087,26629
p45089,29891
p45091,298320
p46003,2782
p46005,19591
p46007,3305
p46009,7065
p46011,35980
p46013,37733
p46015,5311
p46017,1884
p46019,10863
p46021,1340
p46023,9240
p46025,3948
p46027,15431
p46029,28971
p46031,3782
p46033,9117
p46035,19922
p46037,5451
p46039,4354
p46041,5208
p46043,2838
p46045,4057
p46047,7393
p46049,2151
p46051,7553
p46053,4018
p46055,1851
p46057,6451
p46059,3107
p46061,3471
p46063,1324
p46065,17624
p46067,7394
p46069,1186
p46071,2776
p46073,1660
p46075,855
p46077,5276
p46079,11031
p46081,28053
p46083,73238
p46085,3705
p46087,5809
p46089,2334
p46091,4390
p46093,30954
p46095,1851
p46097,2280
p46099,206930
p46101,6450
p46102,13434
p46103,115903
p46105,2834
p46107,2413
p46109,10206
p46111,2399
p46115,6166
p46117,3043
p46119,1494
p46121,9199
p46123,5621
p46125,9027
p46127,17183
p46129,5269
p46135,23517
p46137,2322
p47001,80234
p47003,53055
p47005,16103
p47007,15060
p47009,141456
p47011,111579
p47013,40223
p47015,15063
p47017,28860
p47019,57022
p47021,42254
p47023,17606
p47025,32654
p47027,7714
p47029,37404
p47031,60633
p47033,13982
p47035,64760
p47037,712334
p47039,11656
p47041,21225
p47043,56729
p47045,36498
p47047,44175
p47049,19696
p47051,44654
p47053,51045
p47055,30721
p47057,24681
p47059,72577
p47061,13955
p47063,66216
p47065,379864
p47067,6956
p47069,25567
p47071,27229
p47073,58600
p47075,17328
p47077,28070
p47079,32554
p47081,25826
p47083,8393
p47085,19209
p47087,12363
p47089,57838
p47091,18375
p47093,500669
p47095,6347
p47097,24610
p47099,46114
p47101,13066
p47103,36169
p47105,60591
p47107,55678
p47109,26163
p47111,26793
p47113,99193
p47115,29382
p47117,36961
p47119,110760
p47121,13691
p47123,48594
p47125,239872
p47127,6748
p47129,21573
p47131,30411
p47133,23327
p47135,8891
p47137,5128
p47139,18033
p47141,83844
p47143,33924
p47145,56096
p47147,76776
p47149,367101
p47151,22171
p47153,17161
p47155,99415
p47157,910042
p47159,20538
p47161,14222
p47163,162135
p47165,207994
p47167,62015
p47169,12271
p47171,17756
p47173,20741
p47175,6493
p47177,42638
p47179,138420
p47181,16066
p47183,33084
p47185,28692
p47187,264460
p47189,163674
p48001,57736
p48003,18664
p48005,87319
p48007,25374
p48009,9029
p48011,1832
p48013,51784
p48015,31677
p48017,6672
p48019,22637
p48021,110778
p48023,3463
p48025,30850
p48027,393193
p48029,2087679
p48031,13048
p48033,572
p48035,18996
p48037,91687
p48039,398938
p48041,244703
p48043,9513
p48045,1445
p48047,6848
p48049,38709
p48051,19475
p48053,53991
p48055,49859
p48057,19696
p48059,14374
p48061,426710
p48063,13000
p48065,5878
p48067,28659
p48069,7227
p48071,53876
p48073,52217
p48075,6788
p48077,10738
p48079,2509
p48081,3352
p48083,7842
p48085,1195359
p48087,2563
p48089,21117
p48091,193928
p48093,14050
p48095,3297
p48097,43782
p48099,84878
p48101,1294
p48103,4574
p48105,2858
p48107,4917
p48109,2196
p48111,7237
p48113,2606358
p48115,12004
p48117,18347
p48119,5520
p48121,1007703
p48123,19929
p48125,1711
p48127,8257
p48129,3214
p48131,9604
p48133,18037
p48135,164494
p48137,1393
p48139,222829
p48141,869880
p48143,44195
p48145,17286
p48147,37571
p48149,25474
p48151,3612
p48153,5090
p48155,1079
p48157,916778
p48159,10735
p48161,20441
p48163,17987
p48165,22523
p48167,361744
p48169,4517
p48171,27733
p48173,1141
p48175,7144
p48177,19930
p48179,20916
p48181,146907
p48183,126243
p48185,32384
p48187,188454
p48189,31761
p48191,2818
p48193,8619
p48195,5071
p48197,3490
p48199,58261
p48201,4835125
p48203,70895
p48205,5145
p48207,5385
p48209,280486
p48211,3189
p48213,86158
p48215,898471
p48217,38101
p48219,21460
p48221,67774
p48223,38172
p48225,22066
p48227,30554
p48229,3451
p48231,113347
p48233,20033
p48235,1549
p48237,8875
p48239,15221
p48241,32694
p48243,1856
p48245,251496
p48247,4720
p48249,38662
p48251,202906
p48253,20381
p48255,15018
p48257,185690
p48259,50537
p48261,343
p48263,734
p48265,53915
p48267,4442
p48269,217
p48271,3148
p48273,30069
p48275,3302
p48277,51127
p48279,12711
p48281,23262
p48283,6537
p48285,20571
p48287,18240
p48289,16538
p48291,108272
p48293,22250
p48295,2906
p48297,11584
p48299,22875
p48301,43
p48303,320940
p48305,5761
p48307,7452
p48309,268583
p48311,568
p48313,13742
p48315,9571
p48317,5216
p48319,3931
p48321,36359
p48323,57762
p48325,54797
p48327,1958
p48329,177108
p48331,25951
p48333,4548
p48335,9075
p48337,21598
p48339,711354
p48341,21190
p48343,12066
p48345,1020
p48347,65375
p48349,55635
p48351,12039
p48353,14306
p48355,352289
p48357,9704
p48359,1783
p48361,85722
p48363,29747
p48365,22838
p48367,173494
p48369,9617
p48371,14623
p48373,54186
p48375,114647
p48377,5795
p48379,12986
p48381,148255
p48383,3141
p48385,2854
p48387,11678
p48389,11770
p48391,6666
p48393,840
p48395,17267
p48397,131307
p48399,9868
p48401,53079
p48403,10106
p48405,7833
p48407,28936
p48409,70660
p48411,5845
p48413,2391
p48415,16212
p48417,3229
p48419,24179
p48421,2678
p48423,245209
p48425,9888
p48427,65934
p48429,9343
p48431,1397
p48433,1218
p48435,3221
p48437,6955
p48439,2182947
p48441,146836
p48443,687
p48445,11547
p48447,1526
p48449,31357
p48451,119057
p48453,1334961
p48455,14228
p48457,20382
p48459,43281
p48461,3109
p48463,24960
p48465,47720
p48467,64000
p48469,91664
p48471,81268
p48473,63553
p48475,10966
p48477,37007
p48479,269148
p48481,41739
p48483,4804
p48485,130180
p48487,12522
p48489,20037
p48491,697191
p48493,54183
p48495,7414
p48497,78097
p48499,47921
p48501,7468
p48503,18124
p48505,13736
p48507,9312
p49001,7233
p49003,62684
p49005,142393
p49007,20609
p49009,992
p49011,373207
p49013,20477
p49015,10144
p49017,5314
p49019,9706
p49021,64211
p49023,13023
p49025,8425
p49027,13437
p49029,13000
p49031,1550
p49033,2670
p49035,1185813
p49037,14358
p49039,30277
p49041,22344
p49043,42759
p49045,82051
p49047,37747
p49049,719174
p49051,37144
p49053,202452
p49055,2614
p49057,271926
p50001,37720
p50003,37183
p50005,30610
p50007,169481
p50009,6010
p50011,50994
p50013,7467
p50015,26060
p50017,29943
p50019,27516
p50021,60271
p50023,60142
p50025,45966
p50027,58101
p51001,33239
p51003,115676
p51005,14595
p51007,13480
p51009,31396
p51011,16864
p51013,234162
p51015,78247
p51017,4051
p51019,81525
p51021,6179
p51023,34125
p51025,15749
p51027,19087
p51029,16978
p51031,55270
p51033,32640
p51035,29239
p51036,6610
p51037,11336
p51041,383876
p51043,15466
p51045,4843
p51047,54973
p51049,9878
p51051,13640
p51053,28343
p51057,10598
p51059,1141878
p51061,75165
p51063,15679
p51065,28462
p51067,55549
p51069,95994
p51071,16457
p51073,40057
p51075,27197
p51077,15285
p51079,21301
p51081,11133
p51083,33432
p51085,114148
p51087,334760
p51089,49702
p51091,2339
p51093,40711
p51095,82654
p51097,6720
p51099,28568
p51101,19030
p51103,10859
p51105,21745
p51107,436347
p51109,41037
p51111,12038
p51113,14128
p51115,8514
p51117,30648
p51119,10924
p51121,98666
p51125,14705
p51127,26134
p51131,12021
p51133,12391
p51135,15566
p51137,38574
p51139,23741
p51141,17509
p51143,59571
p51145,32105
p51147,22049
p51149,42871
p51153,489640
p51155,33655
p51157,7414
p51159,9184
p51161,97026
p51163,22358
p51165,86568
p51167,25477
p51169,21433
p51171,45228
p51173,29216
p51175,17975
p51177,149588
p51179,165428
p51181,6593
p51183,10757
p51185,39120
p51187,41843
p51191,54050
p51193,19013
p51195,35174
p51197,28104
p51199,70952
p51510,155230
p51520,16807
p51530,6566
p51540,44983
p51550,253886
p51570,18393
p51580,5545
p51590,41837
p51595,5463
p51600,25144
p51610,14685
p51620,8339
p51630,28928
p51640,6717
p51650,137098
p51660,51082
p51670,22752
p51678,7528
p51680,79535
p51683,42696
p51685,16361
p51690,13763
p51700,183118
p51710,230930
p51720,3492
p51730,33309
p51735,12635
p51740,96793
p51750,16971
p51760,229247
p51770,97171
p51775,25600
p51790,25915
p51800,100659
p51810,453649
p51820,23182
p51830,15847
p51840,27617
p53001,20820
p53003,22549
p53005,215219
p53007,79997
p53009,77616
p53011,521150
p53013,4053
p53015,112864
p53017,44798
p53019,7497
p53021,99034
p53023,2363
p53025,102678
p53027,77290
p53029,86267
p53031,33714
p53033,2271380
p53035,277658
p53037,45508
p53039,23589
p53041,86154
p53043,11738
p53045,68389
p53047,43712
p53049,24200
p53051,14361
p53053,928696
p53055,18566
p53057,131417
p53059,12640
p53061,844761
p53063,551455
p53065,48837
p53067,299003
p53069,4765
p53071,61568
p53073,231919
p53075,48012
p53077,256643
p54001,15378
p54003,132440
p54005,20576
p54007,12162
p54009,21373
p54011,92082
p54013,5959
p54015,7783
p54017,7680
p54019,39072
p54021,7254
p54023,10921
p54025,32149
p54027,23649
p54029,28145
p54031,14251
p54033,64639
p54035,27593
p54037,59787
p54039,174805
p54041,16500
p54043,19701
p54045,30827
p54047,17439
p54049,55807
p54051,29405
p54053,24765
p54055,58057
p54057,26867
p54059,22023
p54061,107718
p54063,12382
p54065,17649
p54067,24169
p54069,41194
p54071,6029
p54073,7428
p54075,7765
p54077,34099
p54079,56962
p54081,72356
p54083,27350
p54085,8167
p54087,13743
p54089,11581
p54091,16388
p54093,6604
p54095,7919
p54097,23529
p54099,37686
p54101,8045
p54103,13890
p54105,5000
p54107,83052
p54109,20277
p55001,21449
p55003,16079
p55005,46833
p55007,16769
p55009,271417
p55011,13419
p55013,17092
p55015,53199
p55017,66970
p55019,34774
p55021,58091
p55023,15944
p55025,575347
p55027,88231
p55029,30562
p55031,44264
p55033,45794
p55035,107903
p55037,4682
p55039,103948
p55041,9325
p55043,51409
p55045,36951
p55047,19344
p55049,23956
p55051,6228
p55053,20855
p55055,85743
p55057,26594
p55059,167488
p55061,20690
p55063,120486
p55065,16945
p55067,19404
p55069,28405
p55071,81331
p55073,138612
p55075,42106
p55077,15838
p55078,4226
p55079,916205
p55081,46151
p55083,39775
p55085,38226
p55087,193234
p55089,93460
p55091,7441
p55093,43026
p55095,45762
p55097,71024
p55099,14102
p55101,196613
p55103,17197
p55105,164278
p55107,14143
p55109,96763
p55111,65920
p55113,18552
p55115,41109
p55117,117752
p55119,20058
p55121,30899
p55123,31170
p55125,23885
p55127,105822
p55129,16930
p55131,138168
p55133,412591
p55135,51388
p55137,24934
p55139,171735
p55141,73939
p56001,38257
p56003,12018
p56005,47498
p56007,14334
p56009,13809
p56011,7592
p56013,39815
p56015,12642
p56017,4661
p56019,8759
p56021,100984
p56023,20880
p56025,79941
p56027,2354
p56029,30735
p56031,8546
p56033,32519
p56035,8969
p56037,41249
p56039,23232
p56041,20745
p56043,7710
p56045,6808
