pypsa-name,parameter,value,unit,source,further description
H2 production biomass gasification CC,FOM,0.69,%/year,Net-Zero America,
H2 production biomass gasification CC,VOM,11.26,USD/MWh_H2,Net-Zero America,""
H2 production biomass gasification CC,electricity-input,0.027,MWh_el/MWh_H2,Net-Zero America,""
H2 production biomass gasification CC,investment,2599,USD/kW_H2,Net-Zero America,""
H2 production biomass gasification CC,lifetime,20,years,Net-Zero America,
H2 production biomass gasification CC,wood-input,1.775,MWh_wood/MWh_H2,Net-Zero America,convert from LHV to HHV
H2 production biomass gasification CC,currency_year,2016,,"",""
TES,charge_cost,110075,USD/MW_el,(7700-Resistance + 383-Lift) * 0.80785 + 70% extra cost,https://thundersaidenergy.com/downloads/battery-storage-costs-the-economics/#:~:text=The%20costs%20of%20a%20grid
TES,charge_efficiency,0.99,,"Modeling electrical particle thermal energy storage systems for long-duration, grid-electricity storage applications",""
TES,discharge_cost,394738,USD/MW_th,(40740-HX + 650000-PowerCycle * Eff) * 0.80785 + 70% extra cost,https://thundersaidenergy.com/downloads/battery-storage-costs-the-economics/#:~:text=The%20costs%20of%20a%20grid
TES,discharge_efficiency,0.524,,"Modeling electrical particle thermal energy storage systems for long-duration, grid-electricity storage applications",""
TES,energy_cost,3400,USD/MWh_th,Electric-thermal energy storage using solid particles as storage media,
TES,FOM,2.25,% of capital cost,ATB NGCC,
TES,VOM,0.00015,% of capital cost,ATB NGCC,
TES,loss,0.00017,,2%/5days,
TES,currency_year,2019,,,
TES,lifetime,30,,,
